Helsinki-NLP/opus-mt-fi-hr,Finnish to Croatian
Helsinki-NLP/opus-mt-fi-cs,Finnish to Czech
Helsinki-NLP/opus-mt-fi-nl,Finnish to Dutch
Helsinki-NLP/opus-mt-fi-en,Finnish to English
Helsinki-NLP/opus-mt-fi-et,Finnish to Estonian
Helsinki-NLP/opus-mt-fi-fr,Finnish to French
Helsinki-NLP/opus-mt-fi-de,Finnish to German
Helsinki-NLP/opus-mt-fi-el,Finnish to Greek
Helsinki-NLP/opus-mt-fi-he,Finnish to Hebrew
Helsinki-NLP/opus-mt-fi-hu,Finnish to Hungarian
Helsinki-NLP/opus-mt-fi-is,Finnish to Icelandic
Helsinki-NLP/opus-mt-fi-it,Finnish to Italian
Helsinki-NLP/opus-mt-fi-lv,Finnish to Latvian
Helsinki-NLP/opus-mt-fi-mk,Finnish to Macedonian
Helsinki-NLP/opus-mt-fi-mt,Finnish to Maltese
Helsinki-NLP/opus-mt-fi-no,Finnish to Norwegian
Helsinki-NLP/opus-mt-fi-ro,Finnish to Romanian
Helsinki-NLP/opus-mt-fi-ru,Finnish to Russian
Helsinki-NLP/opus-mt-fi-sk,Finnish to Slovak
Helsinki-NLP/opus-mt-fi-sl,Finnish to Slovenian
Helsinki-NLP/opus-mt-fi-es,Finnish to Spanish
Helsinki-NLP/opus-mt-fi-sw,Finnish to Swahili
Helsinki-NLP/opus-mt-fi-sv,Finnish to Swedish
Helsinki-NLP/opus-mt-fi-tr,Finnish to Turkish
Helsinki-NLP/opus-mt-fi-uk,Finnish to Ukrainian
Helsinki-NLP/opus-mt-fr-ar,French to Arabic
Helsinki-NLP/opus-mt-fr-bg,French to Bulgarian
Helsinki-NLP/opus-mt-fr-ca,French to Catalan
Helsinki-NLP/opus-mt-fr-hr,French to Croatian
Helsinki-NLP/opus-mt-fr-en,French to English
Helsinki-NLP/opus-mt-fr-de,French to German
Helsinki-NLP/opus-mt-fr-el,French to Greek
Helsinki-NLP/opus-mt-fr-he,French to Hebrew
Helsinki-NLP/opus-mt-fr-hu,French to Hungarian
Helsinki-NLP/opus-mt-fr-mt,French to Maltese
Helsinki-NLP/opus-mt-fr-no,French to Norwegian
Helsinki-NLP/opus-mt-fr-pl,French to Polish
Helsinki-NLP/opus-mt-fr-ro,French to Romanian
Helsinki-NLP/opus-mt-fr-ru,French to Russian
Helsinki-NLP/opus-mt-fr-sk,French to Slovak
Helsinki-NLP/opus-mt-fr-sl,French to Slovenian
Helsinki-NLP/opus-mt-fr-es,French to Spanish
Helsinki-NLP/opus-mt-fr-sv,French to Swedish
Helsinki-NLP/opus-mt-fr-uk,French to Ukrainian
Helsinki-NLP/opus-mt-fr-vi,French to Vietnamese
Helsinki-NLP/opus-mt-de-ar,German to Arabic
Helsinki-NLP/opus-mt-de-bg,German to Bulgarian
Helsinki-NLP/opus-mt-de-ca,German to Catalan
Helsinki-NLP/opus-mt-de-hr,German to Croatian
